"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"337","SCIOTO",2020-01-25,0.095432692822009,0.0025758938772059,511
"338","SENECA",2020-01-25,0.10305733074937,0.0031111043787412,399
"339","SHELBY",2020-01-25,0.10794174586925,0.0036820503138403,273
"340","STARK",2020-01-25,0.10027960958777,0.0013692301143705,1932
"341","SUMMIT",2020-01-25,0.097044789272414,0.0010717350747216,3157
"342","TRUMBULL",2020-01-25,0.089791347092996,0.0016161384334599,1351
"343","TUSCARAWAS",2020-01-25,0.10314968379739,0.0024810499034992,539
"344","UNION",2020-01-25,0.11974281639208,0.0041190363081222,203
"345","VAN WERT",2020-01-25,0.1189068611815,0.0042354673100587,196
"346","VINTON",2020-01-25,0.101549009177,0.0069614817642974,84
"347","WARREN",2020-01-25,0.1227614006532,0.0021776031137198,756
"348","WASHINGTON",2020-01-25,0.098935116441751,0.0031175766788066,329
"349","WAYNE",2020-01-25,0.10701447984649,0.0024938006035165,581
"350","WILLIAMS",2020-01-25,0.093598487945818,0.0033040558507571,252
"351","WOOD",2020-01-25,0.10998947629043,0.0023265508393484,630
"352","WYANDOT",2020-01-25,0.097469607494762,0.0049886476329251,154
"353","ADAMS",2020-01-26,0.08363458350216,0.0041944936941611,154
"354","ALLEN",2020-01-26,0.089276250708285,0.0022675552699794,640
"355","ASHLAND",2020-01-26,0.10532675199769,0.0033525579242001,308
"356","ASHTABULA",2020-01-26,0.079565487385497,0.0019368062043257,651
"357","ATHENS",2020-01-26,0.088963687841543,0.003179320554109,336
"358","AUGLAIZE",2020-01-26,0.10959620739273,0.0036708752634423,287
"359","BELMONT",2020-01-26,0.094040755237186,0.002754496628172,476
"360","BROWN",2020-01-26,0.10441706459485,0.0044734492227676,224
"361","BUTLER",2020-01-26,0.10527524529393,0.0014164274518636,1869
"362","CARROLL",2020-01-26,0.10768049729527,0.0047299881091655,175
"363","CHAMPAIGN",2020-01-26,0.099609667649624,0.0038837444922474,238
"364","CLARK",2020-01-26,0.090092906693878,0.0019033618770851,952
"365","CLERMONT",2020-01-26,0.11253557062219,0.0020310917973254,819
"366","CLINTON",2020-01-26,0.10323277242128,0.0038675042671476,224
"367","COLUMBIANA",2020-01-26,0.094596368414115,0.0021987093213425,658
"368","COSHOCTON",2020-01-26,0.098426335077663,0.0039084402991763,231
"369","CRAWFORD",2020-01-26,0.085199660766352,0.0028843860880954,336
"370","CUYAHOGA",2020-01-26,0.085342726472764,0.00065000431329965,8105
"371","DARKE",2020-01-26,0.10997120320202,0.0034096774736697,364
"372","DEFIANCE",2020-01-26,0.094287579519698,0.0035200390238228,252
"373","DELAWARE",2020-01-26,0.13067299360925,0.0026837795560091,616
"374","ERIE",2020-01-26,0.093745461861672,0.0025568675608552,483
"375","FAIRFIELD",2020-01-26,0.10421840584979,0.0021550333411474,651
"376","FAYETTE",2020-01-26,0.091279642356833,0.0041514322922781,182
"377","FRANKLIN",2020-01-26,0.09043256728797,0.00075723363660096,6194
"378","FULTON",2020-01-26,0.1126277266163,0.0039627599325185,217
"379","GALLIA",2020-01-26,0.10102501958037,0.0042426331393701,175
"380","GEAUGA",2020-01-26,0.11166789158988,0.0032306621140743,447
"381","GREENE",2020-01-26,0.10243446478421,0.0021462139660516,781
"382","GUERNSEY",2020-01-26,0.09025676593892,0.003148802061822,245
"383","HAMILTON",2020-01-26,0.096153676915489,0.00088969367599654,4879
"384","HANCOCK",2020-01-26,0.10846981191558,0.0029736222172497,434
"385","HARDIN",2020-01-26,0.086533977820689,0.0033546373864471,196
"386","HARRISON",2020-01-26,0.081579647113356,0.0047350406904079,119
